강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20220101~20221231

날짜,지점,강수량(mm)
2022-06-09,전국,0.7
2022-06-10,전국,0.2
2022-06-11,전국,0.8
2022-06-12,전국,0.1
2022-06-13,전국,0.9
2022-06-14,전국,5.3
2022-06-15,전국,10.7
2022-06-16,전국,0.9
2022-06-17,전국,0.1
2022-06-18,전국,0.2
2022-06-19,전국,0
2022-06-20,전국,1.5
2022-06-21,전국,0
2022-06-22,전국,0
2022-06-23,전국,29.7
2022-06-24,전국,26.1
2022-06-25,전국,0.5
2022-06-26,전국,1.2
2022-06-27,전국,13.4
2022-06-28,전국,2
2022-06-29,전국,20.9
2022-06-30,전국,35.8
2022-07-01,전국,0.2
2022-07-02,전국,0
2022-07-03,전국,2
2022-07-04,전국,2.3
2022-07-05,전국,2
2022-07-06,전국,1.5
2022-07-07,전국,2.3
2022-07-08,전국,4
2022-07-09,전국,0
2022-07-10,전국,4.4
2022-07-11,전국,16.4
2022-07-12,전국,0.3
2022-07-13,전국,32.5
2022-07-14,전국,3.3
2022-07-15,전국,1.6
2022-07-16,전국,2.3
2022-07-17,전국,0.2
2022-07-18,전국,39.3
2022-07-19,전국,0.6
2022-07-20,전국,0.9
2022-07-21,전국,16.6
2022-07-22,전국,3.8
2022-07-23,전국,8.4
2022-07-24,전국,9.7
2022-07-25,전국,0.1
2022-07-26,전국,0.3
2022-07-27,전국,0
2022-07-28,전국,0.2
2022-07-29,전국,0.2
2022-07-30,전국,0.6
2022-07-31,전국,22.5
2022-08-01,전국,14.9
2022-08-02,전국,11.2
2022-08-03,전국,12.7
2022-08-04,전국,1.6
2022-08-05,전국,1
2022-08-06,전국,1.3
2022-08-07,전국,1.9
2022-08-08,전국,22.3
2022-08-09,전국,31.8
2022-08-10,전국,37.3
2022-08-11,전국,36.4
2022-08-12,전국,1.9
2022-08-13,전국,10.5
2022-08-14,전국,10
2022-08-15,전국,5.1
2022-08-16,전국,24.7
2022-08-17,전국,6.6
2022-08-18,전국,0
2022-08-19,전국,5.1
2022-08-20,전국,17.1
2022-08-21,전국,0
2022-08-22,전국,0.2
2022-08-23,전국,6.3
2022-08-24,전국,8.5
2022-08-25,전국,0.3
2022-08-26,전국,0
2022-08-27,전국,1
2022-08-28,전국,0
2022-08-29,전국,1.2
2022-08-30,전국,29.6
2022-08-31,전국,11.5
2022-09-01,전국,0.1
2022-09-02,전국,4
2022-09-03,전국,2
2022-09-04,전국,7.4
2022-09-05,전국,65.6
2022-09-06,전국,59.6
2022-09-07,전국,0
2022-09-08,전국,0
2022-09-09,전국,0
2022-09-10,전국,0
2022-09-11,전국,0.1
2022-09-12,전국,0.5
2022-09-13,전국,0.5
2022-09-14,전국,0.2
2022-09-15,전국,0
2022-09-16,전국,1.1
2022-09-17,전국,0.7
2022-09-18,전국,2
2022-09-19,전국,6.6
2022-09-20,전국,0
2022-09-21,전국,0
2022-09-22,전국,0
2022-09-23,전국,0.4
2022-09-24,전국,0
2022-09-25,전국,0
2022-09-26,전국,0
2022-09-27,전국,0
2022-09-28,전국,0
2022-09-29,전국,0
2022-09-30,전국,0
2022-10-01,전국,0
2022-10-02,전국,3.3
2022-10-03,전국,18.7
2022-10-04,전국,31.1
2022-10-05,전국,2.6
2022-10-06,전국,3.8
2022-10-07,전국,2.4
2022-10-08,전국,0
2022-10-09,전국,8.2
2022-10-10,전국,2.5
2022-10-11,전국,0.1
2022-10-12,전국,0
2022-10-13,전국,0
2022-10-14,전국,0
2022-10-15,전국,0
2022-10-16,전국,0
2022-10-17,전국,0
2022-10-18,전국,0
2022-10-19,전국,0
2022-10-20,전국,0
2022-10-21,전국,0
2022-10-22,전국,0
2022-10-23,전국,1.6
2022-10-24,전국,1.3
2022-10-25,전국,0.1
2022-10-26,전국,0
2022-10-27,전국,0.6
2022-10-28,전국,0.9
2022-10-29,전국,0.1
2022-10-30,전국,0.3
2022-10-31,전국,0
2022-11-01,전국,0
2022-11-02,전국,0
2022-11-03,전국,0
2022-11-04,전국,0
2022-11-05,전국,0
2022-11-06,전국,0
2022-11-07,전국,0
2022-11-08,전국,0
2022-11-09,전국,0
2022-11-10,전국,0
2022-11-11,전국,0
2022-11-12,전국,12.9
2022-11-13,전국,10.9
2022-11-14,전국,0
2022-11-15,전국,0.6
2022-11-16,전국,0.4
2022-11-17,전국,0
2022-11-18,전국,0
2022-11-19,전국,0
2022-11-20,전국,0.1
2022-11-21,전국,0
2022-11-22,전국,6.8
2022-11-23,전국,2.8
2022-11-24,전국,0
2022-11-25,전국,0.2
2022-11-26,전국,0.1
2022-11-27,전국,0
2022-11-28,전국,15.8
2022-11-29,전국,11
2022-11-30,전국,0
2022-12-01,전국,0
2022-12-02,전국,0
2022-12-03,전국,0.2
2022-12-04,전국,0
2022-12-05,전국,0
2022-12-06,전국,0.3
2022-12-07,전국,0.1
2022-12-08,전국,0
2022-12-09,전국,0
2022-12-10,전국,0
2022-12-11,전국,0.1
2022-12-12,전국,0.8
2022-12-13,전국,1.8
2022-12-14,전국,0.4
2022-12-15,전국,1
2022-12-16,전국,0
2022-12-17,전국,1.1
2022-12-18,전국,0.6
2022-12-19,전국,0.1
2022-12-20,전국,0
2022-12-21,전국,5.2
2022-12-22,전국,1.8
2022-12-23,전국,1.8
2022-12-24,전국,0
2022-12-25,전국,0
2022-12-26,전국,0
2022-12-27,전국,0
2022-12-28,전국,0
2022-12-29,전국,0
2022-12-30,전국,0
2022-12-31,전국,0
